freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.584e+02,3.469e+01,2.661e+01,4.197e+02
1.5,6.475e+02,9.202e+01,1.126e+02,8.522e+02
3.1,7.267e+02,9.799e+01,1.266e+02,9.513e+02
4.6,9.309e+02,1.231e+02,1.499e+02,1.204e+03
6.2,1.700e+03,1.551e+02,2.136e+02,2.068e+03
7.7,2.568e+03,1.542e+02,2.125e+02,2.935e+03
9.2,3.416e+03,1.179e+02,1.587e+02,3.693e+03
10.8,4.489e+03,1.243e+02,1.389e+02,4.753e+03
12.3,5.174e+03,1.533e+02,1.812e+02,5.509e+03
13.9,6.418e+03,1.500e+02,1.928e+02,6.761e+03
15.4,8.288e+03,1.260e+02,1.401e+02,8.554e+03
16.9,1.007e+04,1.220e+02,1.301e+02,1.033e+04
18.5,1.177e+04,1.045e+02,1.367e+02,1.201e+04
20.0,1.371e+04,1.067e+02,1.360e+02,1.395e+04
21.6,1.590e+04,1.072e+02,1.320e+02,1.614e+04
23.1,1.803e+04,1.100e+02,1.312e+02,1.827e+04
24.6,2.035e+04,1.244e+02,1.448e+02,2.062e+04
26.2,2.284e+04,1.438e+02,1.680e+02,2.315e+04
27.7,2.571e+04,1.425e+02,1.659e+02,2.602e+04
29.3,2.921e+04,1.432e+02,1.591e+02,2.952e+04
30.8,3.327e+04,1.399e+02,1.595e+02,3.357e+04
32.4,3.682e+04,1.462e+02,2.199e+02,3.719e+04
33.9,4.013e+04,1.556e+02,2.443e+02,4.053e+04
35.4,4.312e+04,1.427e+02,1.815e+02,4.345e+04
37.0,4.848e+04,1.626e+02,1.997e+02,4.884e+04
38.5,5.606e+04,1.839e+02,2.898e+02,5.653e+04
40.1,6.460e+04,2.116e+02,4.433e+02,6.525e+04
41.6,7.837e+04,2.519e+02,5.070e+02,7.913e+04
43.1,9.397e+04,3.930e+02,7.028e+02,9.507e+04
44.7,1.087e+05,7.370e+02,1.190e+03,1.106e+05
46.2,1.163e+05,1.173e+03,1.898e+03,1.194e+05
47.8,1.149e+05,1.375e+03,2.640e+03,1.189e+05
49.3,1.290e+05,1.230e+03,3.874e+03,1.341e+05
50.8,1.595e+05,1.395e+03,6.089e+03,1.670e+05
52.4,2.168e+05,1.858e+03,7.444e+03,2.261e+05
53.9,3.167e+05,1.635e+03,6.694e+03,3.250e+05
55.5,4.560e+05,9.770e+02,5.206e+03,4.622e+05
57.0,6.115e+05,7.575e+02,6.297e+03,6.185e+05
58.5,8.384e+05,1.572e+03,1.609e+04,8.560e+05
60.1,1.161e+06,3.776e+03,2.694e+04,1.191e+06
61.6,1.426e+06,4.453e+03,2.573e+04,1.457e+06
63.2,1.281e+06,2.630e+03,1.521e+04,1.299e+06
64.7,8.528e+05,1.702e+03,9.199e+03,8.637e+05
66.2,4.821e+05,2.320e+03,6.883e+03,4.913e+05
67.8,2.332e+05,2.449e+03,4.757e+03,2.405e+05
69.3,1.295e+05,2.023e+03,2.964e+03,1.345e+05
70.9,1.017e+05,2.302e+03,2.130e+03,1.062e+05
72.4,9.077e+04,2.889e+03,1.980e+03,9.564e+04
73.9,8.019e+04,3.140e+03,1.968e+03,8.529e+04
75.5,6.728e+04,3.665e+03,1.650e+03,7.260e+04
77.0,5.502e+04,4.306e+03,1.506e+03,6.083e+04
78.6,4.154e+04,4.649e+03,1.716e+03,4.790e+04
80.1,3.302e+04,4.943e+03,1.847e+03,3.981e+04
81.7,2.688e+04,5.682e+03,1.491e+03,3.405e+04
83.2,2.020e+04,7.614e+03,9.893e+02,2.880e+04
84.7,1.958e+04,1.002e+04,6.959e+02,3.030e+04
86.3,1.943e+04,1.222e+04,4.662e+02,3.212e+04
87.8,2.171e+04,1.552e+04,2.902e+02,3.752e+04
89.4,3.075e+04,1.689e+04,2.444e+02,4.788e+04
90.9,3.822e+04,1.591e+04,2.375e+02,5.437e+04
92.4,4.128e+04,1.627e+04,3.581e+02,5.791e+04
94.0,4.320e+04,1.966e+04,6.414e+02,6.350e+04
95.5,4.730e+04,2.602e+04,8.377e+02,7.415e+04
97.1,5.248e+04,3.206e+04,1.122e+03,8.567e+04
98.6,5.971e+04,4.749e+04,1.854e+03,1.091e+05
100.1,7.137e+04,7.681e+04,3.078e+03,1.513e+05
101.7,7.627e+04,1.006e+05,3.919e+03,1.808e+05
103.2,7.619e+04,1.041e+05,3.840e+03,1.842e+05
104.8,6.877e+04,8.658e+04,3.312e+03,1.587e+05
106.3,6.349e+04,6.705e+04,2.762e+03,1.333e+05
107.8,7.792e+04,5.419e+04,2.340e+03,1.344e+05
109.4,1.085e+05,4.411e+04,1.946e+03,1.545e+05
110.9,1.388e+05,3.474e+04,1.562e+03,1.751e+05
112.5,1.557e+05,2.836e+04,1.183e+03,1.853e+05
114.0,1.682e+05,2.333e+04,1.013e+03,1.926e+05
115.5,1.831e+05,1.800e+04,8.898e+02,2.020e+05
117.1,2.079e+05,1.332e+04,7.137e+02,2.219e+05
118.6,2.395e+05,1.618e+04,7.465e+02,2.564e+05
120.2,2.599e+05,3.366e+04,1.269e+03,2.948e+05
121.7,2.761e+05,3.429e+04,1.271e+03,3.117e+05
123.2,2.942e+05,1.880e+04,7.198e+02,3.137e+05
124.8,3.191e+05,1.705e+04,6.273e+02,3.368e+05
126.3,3.418e+05,1.967e+04,6.587e+02,3.621e+05
127.9,3.679e+05,1.479e+04,4.985e+02,3.832e+05
129.4,3.941e+05,1.165e+04,4.340e+02,4.062e+05
130.9,4.298e+05,1.012e+04,3.880e+02,4.403e+05
132.5,3.586e+05,7.830e+03,3.319e+02,3.668e+05
134.0,1.316e+05,3.914e+03,3.098e+02,1.358e+05
135.6,9.292e+04,2.364e+03,2.382e+02,9.552e+04
137.1,9.837e+04,1.903e+03,2.092e+02,1.005e+05
138.7,9.289e+04,1.750e+03,2.957e+02,9.493e+04
140.2,8.024e+04,1.871e+03,3.977e+02,8.251e+04
141.7,6.999e+04,1.861e+03,3.594e+02,7.221e+04
143.3,6.802e+04,1.670e+03,2.332e+02,6.992e+04
144.8,8.187e+04,1.647e+03,1.918e+02,8.371e+04
146.4,1.184e+05,1.836e+03,1.841e+02,1.204e+05
147.9,1.066e+05,1.787e+03,1.874e+02,1.086e+05
149.4,7.400e+04,1.661e+03,1.785e+02,7.584e+04
151.0,6.167e+04,1.716e+03,1.837e+02,6.357e+04
152.5,6.630e+04,1.757e+03,2.266e+02,6.829e+04
154.1,7.870e+04,1.926e+03,3.069e+02,8.093e+04
155.6,8.778e+04,2.146e+03,2.690e+02,9.020e+04
157.1,9.528e+04,2.460e+03,2.072e+02,9.794e+04
158.7,9.405e+04,2.635e+03,2.133e+02,9.690e+04
160.2,8.832e+04,2.800e+03,1.951e+02,9.132e+04
161.8,7.973e+04,3.091e+03,1.788e+02,8.300e+04
163.3,7.523e+04,3.266e+03,1.653e+02,7.866e+04
164.8,6.225e+04,3.139e+03,1.705e+02,6.556e+04
166.4,5.501e+04,3.120e+03,1.579e+02,5.829e+04
167.9,5.538e+04,3.137e+03,1.819e+02,5.870e+04
169.5,5.950e+04,3.186e+03,2.172e+02,6.290e+04
171.0,6.828e+04,3.229e+03,3.312e+02,7.184e+04
172.5,7.761e+04,3.802e+03,7.550e+02,8.217e+04
174.1,8.985e+04,4.454e+03,1.459e+03,9.576e+04
175.6,1.001e+05,4.945e+03,1.417e+03,1.064e+05
177.2,1.142e+05,5.203e+03,7.615e+02,1.201e+05
