freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.861e+01,4.504e+02,5.867e+01,5.677e+02
1.5,3.805e+02,3.980e+02,2.427e+02,1.021e+03
3.1,6.931e+02,5.177e+02,6.812e+02,1.892e+03
4.6,9.221e+02,1.125e+03,1.125e+03,3.172e+03
6.2,7.269e+02,1.924e+03,8.797e+02,3.531e+03
7.7,4.936e+02,2.374e+03,4.302e+02,3.298e+03
9.3,4.958e+02,3.269e+03,2.492e+02,4.014e+03
10.8,5.465e+02,5.092e+03,2.751e+02,5.913e+03
12.4,5.391e+02,5.008e+03,2.884e+02,5.836e+03
13.9,4.422e+02,5.254e+03,2.027e+02,5.899e+03
15.4,4.234e+02,7.588e+03,2.257e+02,8.237e+03
17.0,4.687e+02,9.957e+03,2.308e+02,1.066e+04
18.5,4.359e+02,1.195e+04,1.807e+02,1.256e+04
20.1,3.835e+02,1.430e+04,1.932e+02,1.487e+04
21.6,4.703e+02,1.741e+04,2.521e+02,1.813e+04
23.2,5.488e+02,2.107e+04,2.649e+02,2.189e+04
24.7,5.250e+02,2.574e+04,2.623e+02,2.653e+04
26.3,4.741e+02,3.057e+04,2.663e+02,3.131e+04
27.8,4.974e+02,3.620e+04,2.921e+02,3.699e+04
29.3,5.479e+02,4.400e+04,5.632e+02,4.511e+04
30.9,1.262e+03,5.375e+04,2.172e+03,5.718e+04
32.4,2.098e+03,6.399e+04,4.165e+03,7.026e+04
34.0,1.568e+03,7.614e+04,3.347e+03,8.106e+04
35.5,8.739e+02,9.041e+04,1.401e+03,9.268e+04
37.1,5.336e+02,1.176e+05,6.320e+02,1.187e+05
38.6,5.209e+02,1.629e+05,5.332e+02,1.639e+05
40.2,7.054e+02,2.444e+05,5.025e+02,2.456e+05
41.7,7.369e+02,4.308e+05,5.218e+02,4.321e+05
43.2,7.674e+02,7.857e+05,1.434e+03,7.879e+05
44.8,1.361e+03,1.481e+06,7.178e+03,1.489e+06
46.3,4.545e+03,1.978e+06,1.748e+04,2.000e+06
47.9,4.914e+03,1.620e+06,1.972e+04,1.645e+06
49.4,3.284e+03,1.044e+06,1.882e+04,1.066e+06
51.0,2.613e+03,6.422e+05,1.991e+04,6.648e+05
52.5,1.900e+03,4.313e+05,2.337e+04,4.566e+05
54.0,1.793e+03,3.031e+05,2.964e+04,3.345e+05
55.6,1.582e+03,2.266e+05,2.698e+04,2.552e+05
57.1,1.647e+03,1.756e+05,2.080e+04,1.980e+05
58.7,1.268e+03,1.519e+05,1.478e+04,1.680e+05
60.2,8.924e+02,1.419e+05,1.172e+04,1.545e+05
61.8,8.359e+02,1.305e+05,9.756e+03,1.411e+05
63.3,7.528e+02,1.134e+05,7.718e+03,1.219e+05
64.9,7.209e+02,9.415e+04,5.429e+03,1.003e+05
66.4,6.800e+02,7.428e+04,2.857e+03,7.782e+04
67.9,7.103e+02,5.669e+04,4.136e+03,6.153e+04
69.5,6.045e+02,4.132e+04,6.244e+03,4.817e+04
71.0,6.027e+02,3.055e+04,4.390e+03,3.554e+04
72.6,4.836e+02,2.330e+04,3.068e+03,2.685e+04
74.1,4.547e+02,1.670e+04,2.926e+03,2.008e+04
75.7,5.773e+02,1.251e+04,3.319e+03,1.641e+04
77.2,6.688e+02,1.405e+04,3.790e+03,1.851e+04
78.8,7.451e+02,2.184e+04,3.772e+03,2.635e+04
80.3,8.167e+02,2.935e+04,2.927e+03,3.309e+04
81.8,9.369e+02,2.962e+04,2.351e+03,3.291e+04
83.4,9.224e+02,2.996e+04,2.948e+03,3.383e+04
84.9,7.908e+02,3.268e+04,2.840e+03,3.631e+04
86.5,8.907e+02,3.161e+04,2.049e+03,3.455e+04
88.0,9.595e+02,2.822e+04,1.291e+03,3.047e+04
89.6,1.881e+03,3.154e+04,1.240e+03,3.466e+04
91.1,7.558e+03,5.310e+04,2.598e+03,6.326e+04
92.7,1.078e+04,6.723e+04,3.735e+03,8.174e+04
94.2,6.940e+03,5.445e+04,3.593e+03,6.498e+04
95.7,3.263e+03,3.235e+04,3.536e+03,3.915e+04
97.3,1.482e+03,2.085e+04,3.652e+03,2.599e+04
98.8,1.149e+03,2.300e+04,3.958e+03,2.811e+04
100.4,2.295e+03,3.424e+04,5.116e+03,4.165e+04
101.9,3.231e+03,5.093e+04,5.895e+03,6.006e+04
103.5,3.523e+03,6.205e+04,5.861e+03,7.144e+04
105.0,2.950e+03,6.308e+04,5.341e+03,7.137e+04
106.6,2.046e+03,6.334e+04,4.714e+03,7.010e+04
108.1,1.670e+03,6.387e+04,4.128e+03,6.967e+04
109.6,1.378e+03,6.214e+04,3.754e+03,6.727e+04
111.2,1.300e+03,5.677e+04,3.191e+03,6.126e+04
112.7,1.597e+03,5.084e+04,2.604e+03,5.504e+04
114.3,1.872e+03,4.507e+04,1.935e+03,4.887e+04
115.8,2.201e+03,3.905e+04,1.536e+03,4.279e+04
117.4,2.410e+03,3.291e+04,1.187e+03,3.651e+04
118.9,2.525e+03,2.758e+04,8.516e+02,3.096e+04
120.5,2.752e+03,2.352e+04,7.382e+02,2.701e+04
122.0,2.834e+03,2.319e+04,8.999e+02,2.693e+04
123.5,3.296e+03,3.064e+04,1.543e+03,3.548e+04
125.1,3.458e+03,4.710e+04,2.495e+03,5.305e+04
126.6,3.119e+03,6.088e+04,3.107e+03,6.710e+04
128.2,2.466e+03,6.326e+04,3.026e+03,6.875e+04
129.7,1.744e+03,5.379e+04,2.339e+03,5.787e+04
131.3,1.598e+03,5.664e+04,2.333e+03,6.057e+04
132.8,1.973e+03,5.142e+04,2.185e+03,5.558e+04
134.4,2.952e+03,1.678e+04,1.087e+03,2.082e+04
135.9,3.157e+03,1.450e+04,1.639e+03,1.929e+04
137.4,3.549e+03,1.443e+04,2.096e+03,2.008e+04
139.0,5.240e+03,1.293e+04,2.107e+03,2.028e+04
